,pos_amount_max_1mb,pos_amount_max_2mb,pos_amount_max_3mb,pos_amount_min_1mb,pos_amount_min_2mb,pos_amount_min_3mb,pos_amount_avg_1mb,pos_amount_avg_2mb,pos_amount_avg_3mb,pos_count_1mb,pos_count_2mb,pos_count_3mb,neg_amount_avg_1mb,neg_amount_avg_2mb,neg_amount_avg_3mb,neg_amount_max_1mb,neg_amount_max_2mb,neg_amount_max_3mb,neg_amount_min_1mb,neg_amount_min_2mb,neg_amount_min_3mb,neg_count_1mb,neg_count_2mb,neg_count_3mb,balance_avg_1mb,balance_avg_2mb,balance_avg_3mb,balance_min_1mb,balance_min_2mb,balance_min_3mb,balance_max_1mb,balance_max_2mb,balance_max_3mb,age,gender,A4,A5,A6,A7,A11,A13,A14,A16,has_card,permonth,amount,ndisp,class
204,38042.0,38042.0,57063.0,194.8,199.3,266.1,13512.266666666668,19120.65,28664.55,3.0,2.0,2.0,-3637.65,-6777.3,-4225.099999999999,-14.6,-14.6,-14.6,-6036.0,-18700.0,-6036.0,4.0,12.0,6.0,47123.58571428571,48149.07741935481,63206.383870967715,26946.0,26746.7,32639.2,67273.4,70032.3,89702.2,17.96164383561644,1,95616,65,30,4,9307,4.43,118,3040,1,6340.0,76080.0,1,0
208,23279.0,36227.0,15827.0,230.9,203.8,141.6,14874.300000000001,15249.933333333334,6289.533333333333,3.0,3.0,3.0,-7569.766666666666,-2619.92,-2724.9,-14.6,-14.6,-14.6,-18519.0,-4780.0,-4780.0,6.0,5.0,4.0,53147.60000000002,49347.02903225807,33980.84838709676,41615.3,32084.1,24481.1,86238.3,68514.9,43208.1,28.693150684931506,0,67298,71,19,10,8561,1.29,110,1127,1,4254.0,153144.0,1,0
226,21082.0,10700.0,13500.0,143.7,110.7,101.2,11659.566666666666,5405.35,6800.6,3.0,2.0,2.0,-3345.72,-3757.15,-2757.15,-14.6,-14.6,-14.6,-6600.0,-10300.0,-6300.0,5.0,4.0,4.0,34334.000000000015,26419.50333333335,24189.283870967738,23524.9,17442.8,18870.2,51759.9,32456.8,32456.8,23.13972602739726,1,285387,0,2,8,10177,7.75,81,10108,1,7700.0,92400.0,1,0
235,43095.0,43095.0,43095.0,215.7,305.4,373.8,21655.35,21700.2,21734.4,2.0,2.0,2.0,-5592.933333333333,-11401.95,-11357.3,-14.6,-14.6,-14.6,-14100.0,-32200.0,-22700.0,6.0,8.0,2.0,50802.933333333334,73870.04838709676,82530.76451612904,31495.5,48910.7,55299.5,74590.5,98753.7,98753.7,55.93972602739726,1,285387,0,2,8,10177,7.75,81,10108,1,7182.0,86184.0,1,0
237,37085.0,37085.0,55628.0,127.7,206.4,228.4,18606.35,18645.7,27928.2,2.0,2.0,2.0,-9171.533333333333,-6321.46,-8502.92,-14.6,-14.6,-14.6,-21900.0,-18900.0,-30900.0,3.0,10.0,5.0,45300.085714285706,49400.22258064519,69222.39032258067,21583.9,21392.1,34165.3,58668.9,76792.1,89793.3,47.93698630136986,0,81344,61,23,4,8899,3.97,149,2487,1,5688.0,341280.0,1,0
239,48752.0,48752.0,48752.0,217.1,284.3,241.6,16623.033333333333,24518.15,24496.8,3.0,2.0,2.0,-5443.26,-6852.075,-4207.0599999999995,-14.6,-14.6,-14.6,-18993.0,-21900.0,-13300.0,10.0,8.0,10.0,51573.24193548384,69798.18928571425,58055.264516129006,36926.9,44000.2,39204.2,85678.9,98779.2,79813.2,59.74520547945205,0,51428,50,11,3,8402,3.98,120,1099,1,3438.0,41256.0,2,0
251,30918.0,20612.0,20612.0,158.4,146.6,162.7,15538.2,10379.3,10387.35,2.0,2.0,2.0,-6799.719999999999,-4531.719999999999,-5224.65,-14.6,-14.6,-14.6,-14100.0,-8800.0,-12200.0,5.0,5.0,4.0,37433.12666666668,34292.90000000001,37633.47333333331,25153.9,24393.9,27177.7,56071.9,42505.9,47789.7,28.76986301369863,0,77917,85,19,6,8390,2.89,132,2122,1,2076.0,74736.0,1,0
270,40011.0,40011.0,40011.0,343.2,304.7,256.4,20177.1,20157.85,20133.7,2.0,2.0,2.0,-9429.8,-15360.0,0.0,-100.0,-100.0,0.0,-27800.0,-40300.0,0.0,5.0,4.0,0.0,71264.37666666669,83195.33225806455,84398.88214285717,52869.3,61493.6,61526.3,92880.3,101793.6,101793.6,36.42191780821918,1,149893,63,29,6,9753,5.05,109,5892,1,3151.0,189060.0,1,0
302,43440.0,43440.0,43440.0,233.4,239.8,199.9,21836.7,21839.9,21819.95,2.0,2.0,2.0,-15197.4,-10462.9,-13338.199999999999,-14.6,-14.6,-14.6,-36300.0,-31500.0,-32400.0,4.0,4.0,3.0,61688.07419354839,63387.64000000003,63456.88064516129,34356.5,49863.3,46238.0,95131.5,93303.3,89678.0,57.06027397260274,1,103347,87,16,7,9104,2.07,123,2354,1,7240.0,86880.0,1,0
303,41038.0,41038.0,41038.0,281.9,321.3,304.8,20659.95,20679.65,20671.4,2.0,2.0,2.0,-12271.533333333333,-9478.65,-9173.9,-14.6,-14.6,-14.6,-33100.0,-31900.0,-28400.0,3.0,4.0,4.0,83567.72580645159,92295.19000000003,72499.99354838706,64918.9,61474.2,50031.4,105942.3,102497.6,91069.4,44.68493150684932,1,51428,50,11,3,8402,3.98,120,1099,1,3034.0,182040.0,2,0
305,28052.0,15842.0,3400.0,109.9,108.4,90.7,14080.95,6150.133333333334,1745.35,2.0,3.0,2.0,-4547.5199999999995,-3334.4,-2984.4,-14.6,-14.6,-14.6,-8723.0,-8723.0,-8723.0,5.0,4.0,4.0,25795.280645161292,27099.786666666656,21383.4,11356.0,20780.8,17290.2,39408.0,36608.2,29227.8,22.23835616438356,1,81344,61,23,4,8899,3.97,149,2487,1,1685.0,20220.0,1,0
312,47541.0,24886.0,139.4,320.7,146.7,139.4,27130.74,11332.925,139.4,5.0,4.0,1.0,-18508.085714285717,-4564.15,-3785.5333333333333,-14.6,-14.6,-14.6,-50000.0,-6342.0,-6342.0,7.0,4.0,3.0,95257.17333333335,35446.49354838709,33058.87741935485,51738.7,24221.6,30738.8,142574.7,64106.6,42095.4,43.367123287671234,0,161954,21,37,20,8720,4.5,116,3651,1,7279.0,349392.0,1,0
329,39610.0,39610.0,39610.0,304.3,261.2,232.3,19957.15,19935.6,19921.15,2.0,2.0,2.0,-6059.0,-6832.5,-12597.25,-30.0,-30.0,-30.0,-13100.0,-14700.0,-28100.0,4.0,4.0,4.0,72444.83999999998,62752.835483870935,54130.92580645159,45636.9,40295.7,46195.7,85246.9,79905.7,68252.4,46.81917808219178,1,51428,50,11,3,8402,3.98,120,1099,1,6602.0,396120.0,1,0
331,36061.0,36061.0,36061.0,326.5,275.5,304.5,18193.75,18168.25,18182.75,2.0,2.0,2.0,-6438.2,-11528.9,-4428.65,-14.6,-14.6,-14.6,-13100.0,-24601.0,-8300.0,3.0,4.0,4.0,74779.39032258066,63733.40999999997,71100.9,54597.8,37375.9,50526.0,90658.8,77491.5,86587.0,44.054794520547944,1,139012,59,41,8,8363,3.49,108,2799,1,6010.0,72120.0,2,0
334,45859.0,45859.0,68788.0,228.8,312.4,163.7,23043.9,23085.7,34475.85,2.0,2.0,2.0,-41200.0,-26000.0,-43900.0,-41200.0,-16900.0,-43900.0,-41200.0,-35100.0,-43900.0,1.0,2.0,1.0,81380.48571428574,84300.18064516131,79239.49032258068,54501.6,54189.2,35278.6,100360.6,106189.2,104066.6,42.06301369863014,1,112065,95,19,7,11277,1.44,127,4987,1,4049.0,97176.0,1,0
341,35865.0,23910.0,23910.0,280.8,258.2,220.1,18072.9,12084.1,12065.05,2.0,2.0,2.0,-5829.719999999999,-4637.15,-3491.433333333333,-14.6,-14.6,-14.6,-22300.0,-13200.0,-13500.0,5.0,4.0,6.0,69765.49354838714,63608.853333333325,55211.3064516129,52307.7,46688.1,43506.6,88158.1,70583.5,67402.0,42.43835616438356,0,226122,32,50,7,8994,4.79,110,9208,1,1951.0,23412.0,2,0
345,25367.0,28438.0,41252.0,288.7,254.0,243.3,16167.233333333332,14346.0,20158.325,3.0,2.0,4.0,-8488.333333333334,-14815.0,-15026.0,-30.0,-30.0,-30.0,-33900.0,-29600.0,-58800.0,6.0,2.0,5.0,68407.29677419356,67571.1,71111.24193548391,52922.5,59998.5,32600.1,101135.5,89598.5,104400.1,52.87945205479452,1,118650,8,8,5,9832,4.48,114,5471,1,3425.0,123300.0,1,0
348,43339.0,43339.0,43339.0,257.4,247.4,273.1,21798.2,21793.2,21806.05,2.0,2.0,2.0,-7842.719999999999,-8073.266666666666,-8059.085714285714,-14.6,-14.6,-14.6,-19500.0,-14226.0,-13300.0,5.0,6.0,7.0,60965.14333333331,60382.96129032254,63553.58064516126,32611.2,37464.4,36965.9,75950.2,80803.4,80304.9,18.934246575342467,0,75637,35,36,9,9622,0.59,154,3529,1,7223.0,260028.0,1,0
351,30063.0,45094.0,30063.0,279.3,299.8,215.1,15171.15,22696.9,15139.05,2.0,2.0,2.0,-6077.266666666666,-3710.6,-2843.933333333333,-14.6,-14.6,-14.6,-28400.0,-14100.0,-8000.0,6.0,6.0,6.0,66971.19354838712,71091.74000000002,51430.874193548414,41784.3,37754.1,30639.6,77468.3,82848.1,60702.6,33.14520547945205,1,67298,71,19,10,8561,1.29,110,1127,1,5010.0,300600.0,1,0
357,31310.0,5000.0,1700.0,149.1,129.1,141.4,11886.366666666667,2564.55,920.7,3.0,2.0,2.0,-9012.15,-3657.3,-2407.3,-14.6,-14.6,-14.6,-20434.0,-7300.0,-4800.0,4.0,2.0,2.0,46432.88333333335,26442.954838709662,33142.35806451615,24684.6,24294.1,29767.3,60718.6,31594.1,34567.3,23.052054794520547,1,110643,49,41,4,8441,4.48,115,2252,1,5354.0,192744.0,2,0
364,22446.0,22446.0,33669.0,232.7,268.6,288.3,11339.35,11357.3,16978.65,2.0,2.0,2.0,-5835.719999999999,-11292.866666666667,-6944.65,-14.6,-14.6,-14.6,-18600.0,-26600.0,-18400.0,5.0,3.0,4.0,51680.28709677422,62824.5419354839,64509.55666666669,49430.8,40712.8,42734.1,56148.8,67312.8,69139.1,16.035616438356165,1,1204953,0,0,0,12541,0.43,167,99107,1,1985.0,71460.0,2,0
371,23003.0,18300.0,39321.0,249.8,219.0,188.1,13537.014285714287,6251.366666666666,11284.574999999999,7.0,3.0,4.0,-16016.6,-7588.6,-6057.5,-30.0,-30.0,-30.0,-54600.0,-15000.0,-12300.0,5.0,5.0,4.0,60280.63333333335,51964.27741935486,53357.14482758619,47661.6,32950.6,37068.2,70664.6,70863.6,70863.6,51.298630136986304,1,177686,69,27,10,10045,1.71,135,6295,1,4806.0,173016.0,1,0
375,20037.0,20037.0,30055.5,180.3,180.1,205.6,10108.65,10108.55,15130.55,2.0,2.0,2.0,-4475.766666666666,-5908.65,-6578.65,-14.6,-14.6,-14.6,-16700.0,-19200.0,-21400.0,6.0,4.0,4.0,43351.38928571429,49124.883870967715,52314.22258064516,33563.4,40200.9,39837.5,58423.4,63820.9,69893.0,25.076712328767123,1,162580,83,26,5,9538,1.81,111,5410,1,1177.0,28248.0,1,0
378,40665.0,46073.0,31244.0,257.5,185.7,185.4,20461.25,21067.233333333334,15714.7,2.0,3.0,2.0,-10904.866666666667,-12351.4,-9480.1,-14.6,-14.6,-14.6,-31000.0,-23991.0,-22411.0,3.0,4.0,6.0,68642.12999999998,36109.9258064516,41581.18571428574,40278.7,2491.6,26311.8,80943.7,65507.6,65722.8,29.863013698630137,0,1204953,0,0,0,12541,0.43,167,99107,1,1671.0,100260.0,1,0
381,44899.0,67348.0,44899.0,291.0,226.4,176.9,22595.0,33787.2,22537.95,2.0,2.0,2.0,-7863.92,-6723.92,-7416.8,-14.6,-14.6,-14.6,-31100.0,-25700.0,-16600.0,5.0,5.0,7.0,70003.13225806449,54284.12666666664,40189.996774193554,55797.7,21180.9,25423.6,100034.7,88528.9,72921.6,20.317808219178083,1,182027,17,49,12,8746,3.74,90,4433,1,4816.0,231168.0,1,0
382,12758.0,12758.0,12758.0,209.8,181.9,190.6,6483.9,6469.95,6474.3,2.0,2.0,2.0,-3271.5333333333333,-2071.5333333333333,-1983.1454545454544,-14.6,-14.6,-14.6,-9500.0,-6000.0,-5500.0,3.0,3.0,11.0,50378.68064516129,44137.9,45625.735483870936,41169.6,34444.2,34444.2,53913.0,47187.6,53013.7,36.443835616438356,0,88757,60,33,3,8554,2.68,113,2218,1,312.0,18720.0,2,0
391,14658.0,14658.0,14658.0,213.2,209.0,223.6,7435.6,7433.5,7440.8,2.0,2.0,2.0,-1881.2666666666667,-2869.657142857143,-2375.371428571428,-14.6,-14.6,-14.6,-3936.0,-8600.0,-7300.0,6.0,7.0,7.0,51133.65161290324,50215.94666666665,53597.974193548405,38720.6,37841.2,40347.3,53378.6,54514.2,56260.3,57.83287671232877,1,67298,71,19,10,8561,1.29,110,1127,1,1045.0,12540.0,2,0
